feature,importance
loan_int_rate,0.2798851293948372
income_to_age_ratio,0.21761506747991174
loan_amt_to_income_ratio,0.13005173226325206
loan_percent_income,0.10211774141497598
emp_length_to_age_ratio,0.07046899634604188
person_home_ownership_RENT,0.047847241012492644
person_cred_hist_length,0.046124759143941846
loan_intent_HOMEIMPROVEMENT,0.025328369973774266
person_home_ownership_MORTGAGE,0.020385008489859184
loan_intent_MEDICAL,0.014473660579355414
person_home_ownership_OWN,0.01377327220630923
loan_intent_DEBTCONSOLIDATION,0.009355370027618666
loan_intent_EDUCATION,0.008683035163842443
loan_intent_VENTURE,0.008533470133843226
loan_intent_PERSONAL,0.005357146369944233
person_home_ownership_OTHER,0.0
