feature,importance
loan_int_rate,0.25273743018779193
income_to_age_ratio,0.21513600507646027
loan_amt_to_income_ratio,0.13719430267022567
loan_percent_income,0.10315028854818953
emp_length_to_age_ratio,0.08105419886559394
person_cred_hist_length,0.055293353799251266
person_home_ownership_RENT,0.04140770927584938
loan_intent_HOMEIMPROVEMENT,0.023054705838174934
person_home_ownership_MORTGAGE,0.01777148161392866
loan_intent_MEDICAL,0.01673362412241302
person_home_ownership_OWN,0.016101117276378953
loan_intent_DEBTCONSOLIDATION,0.012178027919840542
loan_intent_EDUCATION,0.010357519851174097
loan_intent_VENTURE,0.009317400696084234
loan_intent_PERSONAL,0.00843473710281429
person_home_ownership_OTHER,7.80971558291591e-05
